id,data,label
10039,"Team Lead (C#, JavaScript)
в Тандер, Магнит — российская холдинговая компания, занимающаяся розничной торговлей.
245К.
Краснодар.
Описание вакансии https://is.gd/ZugdUe
Откликаться на GeekJob.ru
#csharp #teamlead #javascript #js #вакансия #краснодар",Несколько вакансий
9889,"Разработка Telegram ботов любой сложности!

💻 От простых до объёмных проектов

▪️Интеграция с множеством API
▪️Мультиязычность и грамотная архитектура
▪️Подключение различных мерчантов

📖 Коммерческие, информационные и развлекательные боты

🌐 Интеграция криптовалют, приватных и публичных блокчеинов

💼 Есть портфолио с множеством примеров!

🛡Приветствуем работу с гарантом

📡 Для заказа: @The_Bot_Industry",0
9890,"IT-рекрутер в STREAM (ПАО МТС): stream.ru

Офис: метро Технопарк
График работы: с 9 до 18

Чем предстоит заниматься:
-Ведение около 10-15 вакансий одновременно (преимущественно – IT-позиции в офис: разработчики, тестировщики, аналитики и т.д.);
-Точечный поиск по linkedin/facebook, использование различных инструментов сорсинга.

Требования: 

- Опыт работы от года и больше, на позициях  IT рекрутер
- Высшее образование 
- Опыт работы в startup, ИТ- компаниях как преимущество 
- Инициативность, динамичность, высокий уровень ответственности.


Мы предлагаем фиксированный оклад + премиальная часть.

По всем вопросам пишите, пожалуйста, в телеграм @AGusevaa",IT-рекрутер
9891,"Marketing Assistant в Nestle

teletype.in/@dreamjob/B6tyY_NxGyE",non-IT
9892,"• Software Engineer (iOS, Android, React Native, Python) в ЭйАр Сквад, Минск",Несколько вакансий
9893,"Marketing Expert в Raiffeisen

teletype.in/@dreamjob/_870PXOI7

Отзывы о Raiffeisen, этапы отбора и зарплаты на сайте Dream Job: bit.ly/dj__raiffeisen",non-IT
9894,"Коллеги, всем привет! ⚡️

Сочные вакансии для Тим Лидов и СTO вы найдёте канале

@teamlead_jobs 

✔️Обсудить вакансии и предложить своё резюме на размещение можно в чате 
@teamlead_job

Всем хорошего дня. 🌟",0
10226,"Senior DWH Developer (Team lead)
в Ostrovok.ru — сервис онлайн-бронирования отелей.
Москва.
Описание вакансии http://amp.gs/9RDL
#python #perl #bash #developer #teamlead #вакансия #москва",Python-разработчик
9895,"Руководитель проектов 1С(ERP)
Москва
АО «Корпорация Экополис» https://www.ecopoliscorp.com
Работа в проекте по автоматизации трех новых заводов на стеке систем на платформе 1С;
Условия: 180 000 рублей (net),
 5/2 с 09:00 до 18:00;оформление по ТК РФ, официальная заработная плата; офис: м.Текстильщики,5 минут.
Подробнее о вакансии : https://t.me/Ovcharenko_YY
Почта : ovcharenko@ecopoliscorp.com
Важно:
Опыт применения проектных методологий PMBoK / Waterfall и Agile / Scrum / Kanba;
Опыт работы с типовыми конфигурациями 1С:ERP, 1С:ЗУП, 1С: ДО, 1С: CRM
Опыт формирования технической и пользовательской документации. Составление ТЗ, пользовательских инструкций, сценариев использования;
Знание функциональных возможностей платформы 1С 8
Пожелания:
Наличие навыков описания бизнес-процессов с использованием специализированного ПО и нотаций BPMN 2.0, IDEF0, UML, VISIO, MiRO.",Project-менеджер
9896,"WOW вакансия : General Manager в S16 Angel Fund (удаленная работа, любой город)
 
S16 Angel Fund  всегда был местом, где фаундеры стартапов могли поднять посевной капитал во время игры в покер, беседы на диване, или презентации бизнес-клуба. С этим же подходом мы запустили наш ангельский фонд — чтобы вкладывать в компании, фаундеры которых нас захватывают, и в потенциал продуктов которых мы искренне верим. 

Фонд объявляет о вакансии General Manager. Миссия GM — помогать выстроить с нуля операции и инвестиционную деятельность Фонда.

Главное качество GM — «самоходность», то есть умение автономно оперировать в ситуации высокой неопределенности и с минимальным supervision. 

Второе, не менее важное качество, которое мы ищем —  аналитический стиль мышления и умение анализировать компании с инвестиционной точки зрения, поскольку именно на GM будет основная работа по анализу входящих сделок. 

Возможность отклика по ссылке

#венчур #GM #top #удаленнаяработа",non-IT
9897,"DevOps Hiring Day 5 червня! 
22 вакансії від Middle до Senior DevOps позицій, 5 проєктів від світових бізнес-лідерів, квадроцикл Hamer 1500 GT в якості welcome подарунку. 
#Intellias шукає спеціалістів на проєкти корпорацій зі сторічною історією, що працюють у сферах виробництва, автомотів, та FMCG. 
Реєстрація: https://bit.ly/3hDLYUa",0
