data,label
Вы как что взяли 3000 рублей? Вас не смущает что даже не умножает на пользователей?,0
"Ищу программиста 1С в г. Липецк
#вакансия #программист1С #1С #ERP #Липецк

Вакансия: Программист 1С

Город: Липецк
Форма работы: офис, полная занятость, после испытательного периода возможна удаленка 

Форма трудового договора: бессрочный договор. 

Заработная плата: 60 000 – 70 000 руб. на руки (обсуждается). 

Много собственных проектов по e-commerce (интернет-магазин для B2C, мобильное приложение для B2B , ERP с интеграцией с мобильными приложениями для логистики и менеджеров по продажам в крупном производственно-техническом холдинге (штат:5000 чел.).
Компания не только лидер производства инженерного оборудования (6 заводов), но и активно автоматизирует основные бизнес-процессы. Своя IT разработка с офисами в Москве и Липецке. Официально оформляем, все выплаты «белые». 
В Ваши обязанности будет входить:
• Развитие систем на платформе 1С: доработка, оптимизация, исправление ошибок
• Разработка и оптимизация интеграций систем между собой (http-сервисов и web-сервисов)
• Адаптация и написание новых подсистем для 1С:ERP
• Проработка архитектуры решений, обоснование выбора варианта, документирование задач
• Работа по техническим заданиям от аналитиков и администраторов

Что Вам необходимо для успешной работы на данной должности:
• Опыт работы с 1С:ERP, 1С УПП, 1С УТ
• Опыт программирования под управляемые формы
• Знание современных технологий обмена
• Опыт написания интеграций 1С с другими системами
• Опыт разработки, внедрения и сопровождения на платформе 1С 8.2, 8.3
• Наличие сертификатов 1С будет преимуществом

Что предлагает Компания:
• Оформление в соответствии с Трудовым Кодексом РФ;
• «Белая» заработная плата
• Работа в офисе в г. Липецк

Контактное лицо: Жду Ваши резюме на  @ElenaSeed  или e-mail: lenabv@mail.ru",1C-разработчик
"Business analyst в IQVIA

teletype.in/@dreamjob/Xkl08yLxU

Отзывы о компании IQVIA, этапы отбора и зарплаты на сайте Dream Job: bit.ly/dj__iqvia",Бизнес-аналитик
"• Middle Python разработчик в Центробит, Москва, 100 000 — 180 000 RUR",Python-разработчик
"Ruby Backend Developer (+Gо)
в Staply — первый в России бизнес-мессенджер с проектным функционалом.
От 150К, удалённая работа.
Описание вакансии http://amp.gs/gY3h
#ruby #elixir #go #developer #remotework",Ruby-разработчик
"IT-рекрутер в STREAM (ПАО МТС): stream.ru

Офис: метро Технопарк
График работы: с 9 до 18

Чем предстоит заниматься:
-Ведение около 10-15 вакансий одновременно (преимущественно – IT-позиции в офис: разработчики, тестировщики, аналитики и т.д.);
-Точечный поиск по linkedin/facebook, использование различных инструментов сорсинга.

Требования: 

- Опыт работы от года и больше, на позициях  IT рекрутер
- Высшее образование 
- Опыт работы в startup, ИТ- компаниях как преимущество 
- Инициативность, динамичность, высокий уровень ответственности.


Мы предлагаем фиксированный оклад + премиальная часть.

По всем вопросам пишите, пожалуйста, в телеграм @AGusevaa",HR-специалист
"#вакансия #удаленно #remote #QA #тестировщик #python #java Lead QA 
Москва или удаленка
150 000 – 190 000 руб. net

В быстро растущий банковский финтех требуется Ведущий специлист по автоматизированному тестированию, нацеленный вырасти до Team Lead. 
Обязанности:
• Автоматизация тестов на Java backend;
• Создание полного цикла тестирования;
• Контроль работы ручного тестировщика. 

Требования:
•  Опыт от 3 лет в автоматизации тестирования на Java или Python;
•  Linux;
•  docker.
 
Дополнительным плюсом будет:
•  Kubernetes;
•  Gitlab;
•  AWS.

Условия: 
Бессрочный трудовой договор
Белая зарплата
Формат работы: удаленно или офис по выбору сотрудника
Гибкий график с 10.00-19.00
Комфортный офис в Москве 

По всем вопросам пишите: @arayakhmet или на почту akhmetzhanova.at@smarthiring.pro",QA-Инженер
"🔘 Phobosys is looking for a Middle Software Engineer (Back-End)

▪️Salary: $2000 - $3000
▪️Full Time jobs !
▪️Ukraine - Odessa - Office
▪️Experience: from 2 years
▪️English: Upper Intermediate

🔘 Requirements
▫️Skills in back-end engineering using JavaScript/TypeScript in Object-Oriented meter
▫️Experience in back-end code performance analysis
 MORE DETAILS

Contact:  @kristibel

#vacancy #Ukraine #Odessa #Office #from2k #Javascript #Front_End #HTML #from2years #engUpper_Intermediate #FullTime #jobitt
 
Создать Вакансию через бота",Backend-разработчик
"• Python Developer(Remote) в Peller.Tech Inc, Новосибирск",Python-разработчик
"#java #kotlin #senior #москва #fulltime #remote 

Senior Java/Kotlin Developer

Компания: Luxoft 
Локация: Москва
Формат работы: офис / удаленка 
ЗП: 180,000-260,000 gross (до вычета)

Мы являемся командой развития торговой платформы Департамента Глобальных Рынков блока ""Корпоративно-инвестиционный бизнес"". Наша задача помогать трейдерам анализировать постоянно увеличивающиеся объемы информации, выводить на рынок новые финансовые продукты, минимизировать операционные и технологические риски.
Наша команда работает по Agile c 2-ух недельными спринтами. Используется современный стек технологий (Angular, Kotlin, MS SQL). Выстроен DevOps pipeline.

Задачи:
• развитие и поддержка торгово-аналитической платформы деска (Kotlin/Java/MS SQL);
• реализация сложных финансовых моделей и интеграционных решений;
• участие в проектировании расширяемой компонентной архитектуры и выборе технологий;
• разработка ETL-процессов;
• рефакторинг существующего кода, проведение code review.

Наши ожидания от кандидата:
• уверенное знание Java SE (в т.ч. concurrency), знание Kotlin (или готовность его изучить);
• понимание принципов ООП, микросервисной архитектуры, шаблонов проектирования;
• опыт работы с технологиями/компонентами: Spring (boot, web, data, security, testing), Hibernate, JMS, Apache ActiveMQ, Jenkins, Maven;
• доступ к данным: JDBC, LDAP, Web services;
• высшее техническое образование;
• развитые софт-скилы (активное общение с аналитиком и желание вникать в предметную область).

Предлагаем:
• возможность удаленной работы;
• полностью белую заработную плату;
• расширенный социальный пакет;
• программа ДМС;
• профессиональное обучение и повышение квалификации;
• корпоративные скидки в фитнес-клубах, тур-агентствах и других организациях города.

📩Контакты: @naletkina_a / ANaletkina@luxoft.com – Анастасия",Java-разработчик
