data,IT
"#вакансия #удаленка #laravel 
PHP разработчик (senior)
Формат работы: удаленный
Фиксированный оклад: 200 000 -240 000 рублей на руки
Город: любой (желательно небольшая разница часовых поясов с Москвой)

Работодатель - продуктовая компания (в сфере ИБ), резидент Сколково.

Обязанности:
- BackEnd разработка с использованием Laravel Framework
- Поддержка BackEnd системы информационной безопасности
- Разработка новых модулей и фич
- Разработка архитектуры для работы с большими объемами данных
- Обслуживание кода и устранение неисправностей
- разработка модульных (PHPUnit) и функциональных (Selenium) тестов

Требования:
- Опыт работы с Laravеl и очень желательно с другими MVC фреймворками (например Symphony, Zend)
- Опыт разработки проектов с нуля на MVC фреймворках.
- Разработка архитектуры БД, проектов.
- Большим плюсом будут знания ElasticSearch, ClickHouse, PostgreSQL и опыт работы с вебсокетами.

Будет плюсом:
• Опыт работы с CI/CD
• Опыт работы с High Load / Big Data

Что мы предлагаем: 
•  удаленная работа 
•  полностью белая зарплата
• оформление  в штат с первого дня работы
•  обучение и посещение профильных мероприятий за счёт компании 
•  премии по результатам работы 

Контакты: tk@everapeople.ru",1
"#job #relocation #senior #middle #java #Berlin #Germany 
❗Java Developer❗ 
MUST-have: 
-3+y Java 
- Springboot 
-Microservices 
Nice-to-have: + FE skill, microservices architecture 
Remote start possible, but relocation is a must 
✈ Relocation support and visa sponsorship 
🗣 English: B1+ 
🏠 Location: Berlin (Germany) 
💶 Salary: 75-90k (>5y), 55-75k (>3y) 
📩 Contacts: 
Telegram: Sollkaa
E-mail: Os1wwork@gmail.com",1
"#SMM #vacancy #kharkiv 

🖍 The CHI Software  is looking for a SMM Manager 📕

Responsibilities:
- Perform research on current benchmark trends and audience preferences
- Design and implement social media strategy to align with business goals
- Set specific objectives and report on ROI
- Generate, edit, publish and share engaging content (LinkedIn, Twitter, Facebook)
- Collaborate with other teams, like sales, business development, recruiting to ensure brand consistency
- Communicate with followers, respond to queries in a timely manner and monitor customer reviews
- Oversee social media accounts’ design (e.g. Facebook and LinkedIn timeline cover, profile pictures and blog layout)

✔️English: Upper-Intermediate or Intermediate+ (both written and spoken)",0
"""Magnum cash&carry"" (Алматы) ищет
Эксперта по анализу больших данных

Проект: Система персональных предложений. 
Вилка от 400 тыс до 800 тыс (гросс)
Возможна удаленная работа. 

Чем предстоит заниматься?
- Выгрузка данных из различных типов баз (oracle, postgre).
- Очистка, преобразование данных в python -визуализация данных при помощи библиотек matplotlib, seaborn -ad hoc разведочный анализ данных;
- Оценка экспериментов;
- Развитие и оценка моделей машинного обучения.

Требования:
- Отличное знание  SQL;
- Владение библиотеками Python для работы с данными : pandas, numpy, scipy, statsmodels, scikit-learn, matplotlib, seaborn;
- Знание статистических методов для анализа данных;

Дополнительно будет плюсом:
- Опыт в построении рекомендательных систем;
- Опыт создания прогнозных моделей.

Обратная связь:
Асель +7 7077413049 
Kurmanova@magnum.kz",1
"#hr #вакансия #Java #SpringBoot #kafka 

Вакансия: Java middle, middle+
Компания: КодПодбора
Локация: удаленно
з.п: от 220 тыс. руб. на руки
 
Обязанности:
-Дизайн и разработка highloadbackend системы в новом секретном проекте для многомиллионной аудитории
-Разработка highload решений, отвечающих требованиям 99,99/99,999
-Участие в разработке требований к сервисам платформы
-Обмен опытом с коллегами
-Взаимодействие с аналитиками, группами сопровождения и тестирования
-Участие в процессе инсталляции и внедрения системы

Требования: 

-Опыт работы в роли java разработчика от 4 лет
-Стек технологий: Java 8, 11, 
-Spring Boot, 
-Spring WebFlux (в т.ч. вебсокеты), 
-Project Reactor, 
-Kafka, 
-Oracle DB,
-MongoDB, 
-Ignite, 
-Docker/OpenShift, 
-ELK, 
-Opentracing (Jaeger)

Условия:

-Оформление по ТК РФ 
-ДМС
-Работа в стабильной, динамично развивающейся компании

Подробнее: @natiateliya

#ELK #Docker #Oracle",1
"Вакансии в Криптонит
🔹 Team Lead / Senior Site Realibility Engineer / Senior SRE (Kubernetes)
🔹 Team Lead / Senior Go Developer (Kubernetes)
🔹 Team Lead / Senior Site Realibility Engineer (BigData)
Криптонит — компания занимается разработкой ИТ-продуктов и исследованиями с использованием передовых технологий. В числе приоритетных направлений — квантовые вычисления и криптография, технологии и решения в области хранения, обработки и управления большими данными, машинное обучение и нейросети, информационная безопасность.
Москва
Откликаться на GeekJob.ru
#teamlead #вакансия #москва #go #golang #developer #sre",1
"#вакансия #php #go #docker #работа  #job #backend #Composer #Yii2 #MySQL #postgre #postgresql #Laravel #Lumen #bash #nginx #git #remote #middle

🐘PHP Developer
Удаленная работа/ очень гибкий график
Компания: контакты через агентство Smart Hiring Pro
80–120к.
  
Ищем back-end разработчика в крупный проект подарочных сертификатов и подарочных карт.

🔹Обязанности:
- разработка и развитие микросервисов платформы компании;
- разработка новых компонентов и доработка существующих, развитие интеграций c другими платформами и web-проектами.

🔹Требования:
- опыт от 3-х лет;
- PHP, Composer, Yii2, MySQL;
- работа через таск трекер, опыт использования git;
- опыт использования Docker для Dev и Production окружений;

🔹Плюсами будут:
- знание UNIX на уровне пользователя, опыт работы с bash, nginx;
- Laravel/Lumen.

🔹Условия:
- При желании можно в офис в Москве;
- Гражданство и местонахождения не имеет значение;
- ТД или самозанятость;
- Быстрый процессы найма. 

💌📞Все вопросы и предложения направлять:
@Ost_pavel 
ostroumov.pa@smarthiring.pro",1
"• Middle/ Senior Python-разработчик системы управления качеством продуктов в КНС ГРУПП, Москва",1
"Head of Data Science
в Profi.ru — IT-компания, разрабатывающая рекомендательный сервис по подбору частных специалистов.
Москва.
Описание вакансии https://is.gd/LTHPT2
Ищут Оксана Дружинина  и Егор Руди. 
Откликаться на сайте компании.
#analyst #datascientist #headofdatascience #вакансия #москва

Больше вакансий для диджитал-аналитиков:
Telegram @foranalysts
Facebook https://is.gd/TRAIc7
LinkedIn https://is.gd/fBeX79",1
"Business Development Manager в Lime Business Consulting

teletype.in/@limeconsulting/bdm",0
